country_name,country_code,continent,LifeExpNo_00_1975,LifeExp_00_1975,LE_00_1975,LifeExpNo_00_2010,LifeExp_00_2010,LE_00_2010,LifeExpNo_45_2050,LifeExp_45_2050,LE_45_2050,LifeExpNo_85_2050,LifeExp_85_2050,LE_85_2050
Afghanistan,AFG,Asia,40.100329113017196,40.091165430873886,0.9990836317856691,60.85077439008769,60.80205451303836,0.9951280122950663,70.26316280849632,70.15541661511692,0.9892253806620601,70.26316280849632,70.13748955125651,0.9874326742760189
Angola,AGO,Africa,41.19088071213546,41.17755023290959,0.9986669520774129,56.7257965927687,56.638517041763805,0.9912720448995103,67.61167802768237,67.41891684544191,0.980723881775954,67.61167802768237,67.40145980276577,0.9789781775083398
Albania,ALB,Europe,68.32751085221453,68.31799321226588,0.9990482360051345,77.93585439904999,77.90157490131222,0.996572050226223,84.75294454939352,84.68372131454952,0.9930776765155997,84.75294454939352,84.67507654409498,0.992213199470146
United Arab Emirates,ARE,Asia,65.08006384324267,65.0597949723216,0.9979731129078928,78.33347240848633,78.16345417374976,0.9829981765263426,84.98470412379321,84.46481661170593,0.948011248791272,84.98470412379321,84.40887788498688,0.9424173761193672
Argentina,ARG,America,67.08063678319621,67.07467804975298,0.9994041266556764,75.7207733779683,75.70558424663477,0.9984810868666472,82.41548462839155,82.38814674547311,0.9972662117081554,82.41548462839155,82.38511068413317,0.9969626055741614
Armenia,ARM,Asia,64.96165973632868,64.88770256713376,0.9926042830805073,73.15973254701275,72.87134550450077,0.9711612957488015,80.59458308281903,80.09085572266649,0.9496272639847462,80.59458308281903,79.9249157407891,0.9330332657970075
Australia,AUS,Oceania,72.78596591769752,72.77974547742159,0.9993779559724061,82.05500723633403,82.0347789828286,0.9979771746494563,87.0833175874836,87.03663145136699,0.9953313863883381,87.0833175874836,87.03468879717624,0.9951371209692639
Austria,AUT,Europe,71.32733776360696,71.31428111196928,0.9986943348362317,80.46426157790732,80.41154864010454,0.9947287062197219,86.3336250280587,86.224293595023,0.9890668566964294,86.3336250280587,86.21650297279943,0.9882877944740727
Azerbaijan,AZE,Asia,60.336947182105106,60.27811140302878,0.9941164220923675,69.52913807814245,69.2976582745442,0.9768520196401752,77.14754610315055,76.75828694748648,0.9610740844335937,77.14754610315055,76.65007249928821,0.9502526396137668
Burundi,BDI,Africa,42.982281690480505,42.952505046112485,0.997022335563198,57.080854513810806,56.90970542887828,0.9828850915067477,67.24995939983717,66.86205115668629,0.9612091756849125,67.24995939983717,66.79302391839846,0.9543064518561295
Belgium,BEL,Europe,71.96265575743894,71.95602766014031,0.9993371902701369,80.03304538179987,80.00468106071109,0.9971635678911227,86.07257066858865,86.0051905807075,0.9932619912118852,86.07257066858865,85.98758626154498,0.9915015592956322
