country_name,country_code,continent,LE_00_1975,LE_00_2010,LE_45_2080,LE_85_2080
Afghanistan,AFG,Asia,0.9990836613265544,0.9951281394243793,0.9808704046410227,0.9703283322976404
Angola,AGO,Africa,0.9986640268488145,0.9912554165640202,0.9636659937355929,0.9531838540391803
Albania,ALB,Europe,0.9990498571929394,0.9965773697569518,0.9898440964366089,0.9831692362314854
United Arab Emirates,ARE,Asia,0.9979717881737941,0.9829900120910295,0.916998370059865,0.8885219466452228
Argentina,ARG,Americas,0.9994050796828858,0.9984831201011175,0.9957311605271257,0.9934212238111286
Armenia,ARM,Asia,0.9926124646500994,0.971190614649467,0.9135524329275654,0.8438165361168075
Australia,AUS,Oceania,0.9993781860533459,0.9979776970298644,0.9921493967108332,0.988591774035406
Austria,AUT,Europe,0.998694334402137,0.9947287049510735,0.9845021337810962,0.9742232715781001
Azerbaijan,AZE,Asia,0.9941108258281239,0.9768313683381009,0.9352909728291507,0.8892408001226016
Burundi,BDI,Africa,0.9970310544542003,0.9829304282967307,0.9285489150295732,0.9087870260090725
Belgium,BEL,Europe,0.999337267331903,0.9971637400196215,0.9871557811955995,0.9769551565296141
Benin,BEN,Africa,0.9967450296860718,0.9889745812417509,0.958520621750256,0.9567292775420156
Burkina Faso,BFA,Africa,0.9975781780005967,0.9896996804710533,0.9591812060567875,0.9556873997367703
Bangladesh,BGD,Asia,0.9992138088927603,0.9990432791188809,0.9926899084448223,0.9876883846756541
Bulgaria,BGR,Europe,0.9934671742137269,0.9814030394833921,0.9485595227356256,0.9100914834677368
Bahamas,BHS,Americas,0.9997753814555252,0.9950314750812964,0.9800581129323902,0.9771615178213906
Bosnia and Herzegovina,BIH,Europe,0.9981738615350266,0.9946158220772929,0.9859820639569463,0.976399438947432
Belarus,BLR,Europe,0.9607941689756345,0.9134220907608451,0.7329184211331707,0.5116164943844567
Belize,BLZ,Americas,0.999569511587417,0.9986318526988185,0.9914338544208121,0.9862569132807721
Bolivia (Plurinational State of),BOL,Americas,0.999305119177216,0.996193583313864,0.9845631409079146,0.9777671500242235
Brazil,BRA,Americas,0.9998826252522882,0.9993436110769253,0.9960731743454077,0.9945365164458295
Brunei Darussalam,BRN,Asia,0.9996493615760258,0.9954060324195524,0.9795034644424732,0.9754250347094043
Bhutan,BTN,Asia,0.9991967511989912,0.9962730695352959,0.9722874938984077,0.9593685449947855
Botswana,BWA,Africa,0.9951622770461774,0.987630688910636,0.9428304202056523,0.9207278333513671
Central African Republic,CAF,Africa,0.9938803226699058,0.9887908092811394,0.9457263980584116,0.9382407351001476
Canada,CAN,Americas,0.9980192748699735,0.9941570959599517,0.9810784516281629,0.967960604400291
Switzerland,CHE,Europe,0.999409582377767,0.9979489831026157,0.9942916585679555,0.9905453987071539
Chile,CHL,Americas,0.9988838436063702,0.9962002348033735,0.9842649863976647,0.9754235334586951
China,CHN,Asia,0.9987816881562545,0.9956254499363609,0.9759025169017335,0.9621328323508991
Côte d'Ivoire,CIV,Africa,0.9970649444876465,0.9902530093053443,0.9533148225944188,0.9496987539179969
Cameroon,CMR,Africa,0.9971327061683496,0.9898304503769644,0.9530990600770395,0.9482050369227835
"Congo, Democratic Republic of the",COD,Africa,0.9973702471212263,0.9923352046731857,0.9684454497277386,0.9609588777458242
Congo,COG,Africa,0.9974034346670045,0.9930293953078255,0.9679998066144279,0.9644716099179333
Colombia,COL,Americas,0.9998921148356615,0.9993086926201628,0.9956764797490336,0.9940083514538258
Costa Rica,CRI,Americas,0.9998970171773763,0.9988939398698975,0.9936127614376276,0.9923379102338856
Cuba,CUB,Americas,0.9998237591451982,0.998745015227611,0.9919856493605209,0.9882497326179163
Cyprus,CYP,Asia,0.9994414480407172,0.9964704607420416,0.9824829419111538,0.9714246241074577
Czechia,CZE,Europe,0.9956827357608489,0.9841131806616573,0.9567817056254952,0.9247769040415577
Germany,DEU,Europe,0.9994940675612923,0.9980666422734927,0.9942763309122327,0.9896224991548337
Djibouti,DJI,Africa,0.9979497800223165,0.9851369380531665,0.9343431551254142,0.9215704381078368
Denmark,DNK,Europe,0.9995709843833595,0.9974180063795458,0.9893880345513623,0.9814745884481753
Dominican Republic,DOM,Americas,0.9997327141760983,0.99788299170866,0.9874180467496316,0.9818802444367549
Algeria,DZA,Africa,0.9997997482654419,0.9979087116069664,0.9904451893403561,0.9860478970820978
Ecuador,ECU,Americas,0.9997816007066185,0.9977681157485818,0.9895034881725181,0.9860137528932554
Egypt,EGY,Africa,0.9996857544828771,0.998727776691166,0.9951627226516336,0.9922168761031059
Eritrea,ERI,Africa,0.9953710445062967,0.9639884842227879,0.8455044061270016,0.8037873446930874
Western Sahara,ESH,Africa,1.0,1.0,1.0,1.0
Spain,ESP,Europe,0.9995959156816709,0.9983389686817489,0.9948861850897742,0.9916147099238728
Estonia,EST,Europe,0.9877858609713754,0.9401469639807729,0.818867080128203,0.6783734559866132
Ethiopia,ETH,Africa,0.9986455854666133,0.9848481436978119,0.9269160375033835,0.909679609957692
Finland,FIN,Europe,0.9956845971718267,0.9745290340314924,0.9146861585323706,0.8498632204393062
Fiji,FJI,Oceania,0.9995920056429348,0.9979373213397509,0.9913669433906989,0.9877549853991241
Falkland Islands (Malvinas),FLK,Americas,0.9991835187538995,0.9871324256896259,0.8734284087360962,0.8734284087360962
France,FRA,Europe,0.9982563800277007,0.9904857063930166,0.966827826388618,0.9483355350389828
Gabon,GAB,Africa,0.9987089497249017,0.9934534676326784,0.968924232911067,0.9634005058431313
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,0.9996070576961642,0.9978210411314776,0.9920154146348708,0.9857075445334488
Georgia,GEO,Asia,0.9970049156950551,0.98867562062414,0.9700372728313852,0.9483077529053148
Ghana,GHA,Africa,0.9976524773870779,0.9911161671617933,0.9600222211758606,0.9607058746457696
Guinea,GIN,Africa,0.9978515336095803,0.985710593838266,0.9401395898604108,0.9290536886150036
Gambia,GMB,Africa,0.9986930831085715,0.9904834607785986,0.9618843564885381,0.9469228213243326
Guinea-Bissau,GNB,Africa,0.9962823150752996,0.9848413318960766,0.9278023349990179,0.8967957828933706
Equatorial Guinea,GNQ,Africa,0.9995917370831251,0.9962578679546212,0.9829717060972157,0.9809962692688586
Greece,GRC,Europe,0.9995522270288888,0.9979838659682059,0.992246126903801,0.9867876018698098
Greenland,GRL,Americas,0.9884298079887479,0.951904861499959,0.8343440744114587,0.7524304082998157
Guatemala,GTM,Americas,0.9987831339581532,0.9928787114019343,0.969765580955307,0.9564779646766567
Guyana,GUY,Americas,0.9995111616113903,0.990444241791937,0.9585392638683814,0.9469688619785501
Honduras,HND,Americas,0.9998382470070375,0.9987602548962343,0.9919939119150414,0.9880946359599591
Croatia,HRV,Europe,0.9979512068891239,0.9943846629934555,0.9824393495875399,0.9706185084841537
Haiti,HTI,Americas,0.9963535695099303,0.9868782602972977,0.8842375969832418,0.8358757137698518
Hungary,HUN,Europe,0.9924408379604813,0.9789234211417466,0.9370388228704073,0.8880491925834662
Indonesia,IDN,Asia,0.9998731057358548,0.9989676420752545,0.9955789312748792,0.9944590374326182
India,IND,Asia,0.9953283666872345,0.9884737012530863,0.9243686927820007,0.8787414893228316
Ireland,IRL,Europe,0.9997066360648958,0.9980674588384175,0.9929465282808693,0.9877299391060816
Iran (Islamic Republic of),IRN,Asia,0.9997045430035847,0.9980556284815663,0.9897419581477009,0.984532119237123
Iraq,IRQ,Asia,0.9996210695511444,0.9982097012652659,0.9930308062969658,0.9896215687044417
Iceland,ISL,Europe,0.9993024257331597,0.9946195788774588,0.9819127720030707,0.972974199189666
Israel,ISR,Asia,0.9992965150854246,0.9968020054732563,0.9870820699382407,0.9775766710450668
Italy,ITA,Europe,0.9996801731203832,0.9979341396505831,0.9905609371843994,0.9842559834178616
Jamaica,JAM,Americas,0.9999758575590689,0.9990648067645708,0.996261453345177,0.9957284308717235
Jordan,JOR,Asia,0.9997448498045152,0.9989381571240955,0.9953450457492877,0.992470220726743
Japan,JPN,Asia,0.9962406015149199,0.9849198401699539,0.9392665585722255,0.8967206233584321
Kazakhstan,KAZ,Asia,0.9728320541401281,0.9261834089659302,0.7923099252779764,0.6504995341823004
Kenya,KEN,Africa,0.998179607252542,0.9876369080358345,0.9558837814492648,0.947017509401725
Kyrgyzstan,KGZ,Asia,0.987465717816989,0.9630962792404191,0.8546512967812859,0.7653319120975184
Cambodia,KHM,Asia,0.9999943110994598,0.9994379422076178,0.9971347859924975,0.9960684173030685
"Korea, Republic of",KOR,Asia,0.998016551296935,0.9909411285609011,0.9538215260858351,0.9251034601346418
Kuwait,KWT,Asia,0.9996606207610099,0.9972098916765717,0.9844740910388439,0.9780288796017075
Lao People's Democratic Republic,LAO,Asia,0.999241257214539,0.9970936540980432,0.9874704010853279,0.9822895562755974
Lebanon,LBN,Asia,0.9997758929521204,0.9987942216692872,0.9954427892189983,0.9925278975141112
Liberia,LBR,Africa,0.998901286055822,0.9914966467367584,0.9624215844721931,0.9563869147430253
Libya,LBY,Africa,0.9996695759107972,0.9983555826318664,0.9931440275331141,0.9889421822673299
Sri Lanka,LKA,Asia,0.999081721393766,0.9965674953222902,0.979860022056522,0.9713839771854893
Lesotho,LSO,Africa,0.9936500301890895,0.9898383540079763,0.9287078716152095,0.8964079050830847
Lithuania,LTU,Europe,0.9687215013578211,0.9031221155778468,0.7349750262024344,0.5070958750952286
Latvia,LVA,Europe,0.9788496078921639,0.9299047059431672,0.7983748627627889,0.6274798924309579
Morocco,MAR,Africa,0.9990045491226148,0.9937468501826003,0.9645559414691107,0.9474256958502736
"Moldova, Republic of",MDA,Europe,0.9755163998449106,0.9279966372097362,0.8105591550535891,0.6571982335887554
